Domain,Area,Item,Item Code (CPC),Year,Area_Harvested_in_Hectares,Yield_Value in kg/ha,Producing Animals/Slaughtered_Value,Laying_Value,Yield/Carcass Weight_Value,Milk Animals_Value,Production in Hectares
Crops and livestock products,Afghanistan,"Meat of goat, fresh or chilled",21116.0,2020,0.0,0.0,3616042.0,0.0,130.0,0.0,47021.47
Crops and livestock products,Afghanistan,"Meat of goat, fresh or chilled",21116.0,2021,0.0,0.0,3596620.0,0.0,130.0,0.0,46770.8
Crops and livestock products,Afghanistan,"Meat of goat, fresh or chilled",21116.0,2022,0.0,0.0,3619703.0,0.0,130.0,0.0,47071.74
Crops and livestock products,Afghanistan,"Meat of goat, fresh or chilled",21116.0,2023,0.0,0.0,3642792.0,0.0,130.0,0.0,47372.76
Crops and livestock products,Afghanistan,"Meat of sheep, fresh or chilled",21115.0,2019,0.0,0.0,7000000.0,0.0,158.0,0.0,110888.13
Crops and livestock products,Afghanistan,"Meat of sheep, fresh or chilled",21115.0,2020,0.0,0.0,6760862.0,0.0,163.0,0.0,110000.0
Crops and livestock products,Afghanistan,"Meat of sheep, fresh or chilled",21115.0,2021,0.0,0.0,6800000.0,0.0,154.0,0.0,105000.0
Crops and livestock products,Afghanistan,"Meat of sheep, fresh or chilled",21115.0,2022,0.0,0.0,6700000.0,0.0,152.0,0.0,102000.0
Crops and livestock products,Afghanistan,"Meat of sheep, fresh or chilled",21115.0,2023,0.0,0.0,6461548.0,0.0,156.0,0.0,100792.87
Crops and livestock products,Afghanistan,Millet,118.0,2019,1401.0,1937.2,0.0,0.0,0.0,0.0,2714.0
Crops and livestock products,Afghanistan,Millet,118.0,2020,1437.0,1318.7,0.0,0.0,0.0,0.0,1895.0
Crops and livestock products,Afghanistan,Millet,118.0,2021,979.0,1583.2,0.0,0.0,0.0,0.0,1550.0
Crops and livestock products,Afghanistan,Millet,118.0,2022,1213.0,1577.1,0.0,0.0,0.0,0.0,1913.0
Crops and livestock products,Afghanistan,Millet,118.0,2023,1142.0,1597.9,0.0,0.0,0.0,0.0,1824.12
Crops and livestock products,Afghanistan,Molasses,23540.0,2019,0.0,0.0,0.0,0.0,0.0,0.0,533.53
Crops and livestock products,Afghanistan,Molasses,23540.0,2020,0.0,0.0,0.0,0.0,0.0,0.0,341.86
Crops and livestock products,Afghanistan,Molasses,23540.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,1495.87
Crops and livestock products,Afghanistan,Molasses,23540.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,2283.86
Crops and livestock products,Afghanistan,Mustard seed,1442.0,2019,1691.0,1005.3,0.0,0.0,0.0,0.0,1700.0
